tile_number,an_avg_TMIN,an_sum_PRCP,PRISM_ppt,PRISM_tmin
0,-11.8786361,1670.4636612554843,1170.7725,3.05
10,-15.00462088,1474.3636583333666,1076.5013,4.75
11,-14.21545423,1432.3909304351969,1058.1384,5.0499997
12,-13.15204516,1421.6727484573019,1169.0377,5.5099998
13,-14.21545423,1432.3909304351969,1049.8635,5.0499997
14,-14.21545423,1432.3909304351969,1144.463,4.66
15,-16.24537842,1375.3182023120198,1084.9564,4.25
16,-15.00462088,1474.3636583333666,1034.4552,4.5899997
17,-14.67704513,1350.6545655808666,1121.6185,5.22
18,-15.56749965,1306.472746740688,1119.2595,4.93
19,-15.56749965,1306.472746740688,1043.0562,4.58
1,-12.66560578,1675.3818431469526,1075.9968,2.97
20,-14.67704513,1350.6545655808666,1158.0449,4.41
21,-14.67704513,1350.6545655808666,1133.7047,4.6099997
22,-14.67704513,1350.6545655808666,1165.2224,4.21
23,-14.39007544,1415.8727483708751,1136.9468,4.54
24,-14.67704513,1350.6545655808666,1233.176,3.9699998
25,-16.93924205,1278.6091099618511,1152.1622,4.44
26,-16.93924205,1278.6091099618511,1130.9888,4.39
27,-11.8786361,1670.4636612554843,1072.6382,4.21
28,-8.629014959,1446.018203365532,1063.8564,5.79
29,-11.004924,1514.6909316615624,1107.2488,4.8599997
2,-12.66560578,1675.3818431469526,1050.4518,3.4399998
30,-11.004924,1514.6909316615624,1109.194,5.89
31,-10.97121188,1550.0182049152527,994.493,5.0099998
32,-11.3425755,1495.4091131924229,1046.6312,5.5199
33,-8.629014959,1446.018203365532,987.4734,6.0199
34,-10.06613614,1432.590930438177,1153.5796,5.8199997
35,-10.06613614,1432.590930438177,1053.2917,5.97
36,-9.270908884,1482.9091130061583,1116.958,5.65
37,-10.06613614,1432.590930438177,1109.6803,6.3599997
38,-8.150378606,1478.7727493081582,1229.217,7.2
39,-12.32242397,1481.2545675269582,1087.206,5.3799996
3,-12.21015124,1506.3818406286564,1202.1095,3.09
40,-9.659924027,1463.6909309016032,1132.8657,5.0499997
4,-14.09598453,1747.8545714996078,1061.9717,3.9299998
5,-11.3425755,1495.4091131924229,1059.2571,4.87
6,-12.86643911,1461.9545672393658,1056.9916,5.83
7,-13.46340879,1493.036385884339,1033.4556,5.2599998
8,-13.46340879,1493.036385884339,1023.25037,4.7599998
9,-15.49499965,1577.8727507848632,1035.8413,4.0199
